GEOID,NAME,todlerestimate,todlermoe,childestimate,childmoe,total,totalmoe,year,sum,percent
51003,"Albemarle County, Virginia",4922,303,10896,520,20687,219,2010,15818,0.7646347947986658
51540,"Charlottesville city, Virginia",1403,138,2329,296,5979,211,2010,3732,0.6241846462619167
51540,"Charlottesville city, Virginia",1477,154,2311,194,5926,161,2011,3788,0.6392170097873776
51003,"Albemarle County, Virginia",4899,337,11079,469,20733,214,2011,15978,0.770655476776154
51003,"Albemarle County, Virginia",4889,388,11243,490,20764,182,2012,16132,0.7769215950683876
51540,"Charlottesville city, Virginia",1619,162,2262,236,6164,128,2012,3881,0.6296236210253082
51540,"Charlottesville city, Virginia",1635,192,2116,248,6196,158,2013,3751,0.605390574564235
51003,"Albemarle County, Virginia",4853,279,11471,502,20873,215,2013,16324,0.7820629521391271
51540,"Charlottesville city, Virginia",1704,165,2058,224,6465,128,2014,3762,0.5819025522041763
51003,"Albemarle County, Virginia",5024,321,11584,503,21036,195,2014,16608,0.7895037079292642
51540,"Charlottesville city, Virginia",1780,180,2104,180,6582,122,2015,3884,0.59009419629292
51003,"Albemarle County, Virginia",5002,367,11419,491,21042,197,2015,16421,0.7803915977568672
51540,"Charlottesville city, Virginia",1874,175,2533,219,6708,151,2016,4407,0.6569767441860465
51003,"Albemarle County, Virginia",5160,334,11320,519,21084,177,2016,16480,0.7816353633086701
51540,"Charlottesville city, Virginia",2031,181,2482,246,6921,145,2017,4513,0.6520733997977171
51003,"Albemarle County, Virginia",5178,350,10960,523,21057,229,2017,16138,0.7663959728356367
51540,"Charlottesville city, Virginia",2040,185,2541,305,6962,179,2018,4581,0.6580005745475438
51003,"Albemarle County, Virginia",4916,388,10800,594,20987,212,2018,15716,0.7488445227998285
51540,"Charlottesville city, Virginia",1823,230,2637,310,6936,209,2019,4460,0.6430219146482122
51003,"Albemarle County, Virginia",4888,408,10715,559,21029,198,2019,15603,0.7419753673498503
51540,"Charlottesville city, Virginia",1885,250,2659,346,6964,161,2020,4544,0.652498564043653
51003,"Albemarle County, Virginia",5113,336,10977,625,21124,232,2020,16090,0.7616928612005303
51003,"Albemarle County, Virginia",5295,336,10926,631,21692,223,2021,16221,0.7477872026553568
51540,"Charlottesville city, Virginia",1971,241,2307,274,6979,162,2021,4278,0.6129818025505087
51,Virginia,408782,3805,811242,5830,1744212,2667,2010,1220024,0.6994700185527906
51,Virginia,406264,3614,814449,5568,1755791,2763,2011,1220713,0.6952496054484845
51,Virginia,404131,4300,817479,5614,1766737,2719,2012,1221610,0.6914498309595599
51,Virginia,403580,3546,818165,5955,1774056,2765,2013,1221745,0.6886733000536623
51,Virginia,403126,3599,819469,5691,1779991,2646,2014,1222595,0.6868545964558248
51,Virginia,403895,3516,819384,5703,1779867,2822,2015,1223279,0.687286746706355
51,Virginia,402868,3759,816926,6210,1776415,2487,2016,1219794,0.6866604931843066
51,Virginia,406094,4008,818114,5988,1776682,2748,2017,1224208,0.6890417080828195
51,Virginia,408060,3918,817507,5938,1775659,3032,2018,1225567,0.6902040312920442
51,Virginia,407596,4223,810007,6236,1771251,2939,2019,1217603,0.6874254411147828
51,Virginia,408591,4125,815096,7117,1767533,3447,2020,1223687,0.6923135239907826
51,Virginia,407133,4368,834315,6740,1793087,3870,2021,1241448,0.6923523510013736
