count,year,locality,fips,pop_1017,rate
498,2010,Albemarle,51003,9836,50.63033753558357
328,2010,Charlottesville,51540,2495,131.4629258517034
375,2011,Albemarle,51003,9890,37.917087967644086
258,2011,Charlottesville,51540,2519,102.42159587137753
402,2012,Albemarle,51003,9972,40.312876052948255
260,2012,Charlottesville,51540,2554,101.80109631949882
332,2013,Albemarle,51003,10003,33.190042987103865
222,2013,Charlottesville,51540,2575,86.21359223300972
300,2014,Albemarle,51003,10068,29.797377830750897
188,2014,Charlottesville,51540,2580,72.86821705426357
251,2015,Albemarle,51003,10100,24.851485148514854
221,2015,Charlottesville,51540,2616,84.48012232415903
261,2016,Albemarle,51003,10005,26.08695652173913
153,2016,Charlottesville,51540,2662,57.4755822689707
217,2017,Albemarle,51003,9921,21.872795081141014
179,2017,Charlottesville,51540,2664,67.1921921921922
223,2018,Albemarle,51003,9912,22.497982243744953
139,2018,Charlottesville,51540,2737,50.78553160394592
36575,2018,Virginia,51,845089,43.279465239755815
194,2019,Albemarle,51003,9894,19.607843137254903
111,2019,Charlottesville,51540,2774,40.01441961067051
34068,2019,Virginia,51,843728,40.377941706331896
150,2020,Albemarle,51003,9958,15.06326571600723
111,2020,Charlottesville,51540,2788,39.81348637015782
25760,2020,Virginia,51,844816,30.491846745326793
176,2021,Albemarle,51003,9958,17.674231773448483
99,2021,Charlottesville,51540,2788,35.50932568149211
23493,2021,Virginia,51,844816,27.808422188973694
123,2022,Albemarle,51003,9958,12.351877887125928
118,2022,Charlottesville,51540,2788,42.32424677187949
23588,2022,Virginia,51,844816,27.920872710744117
