fips,locality,year,pop_wcc
003,Albemarle County,2000,84688.11453563237
003,Albemarle County,2001,86092.4575937873
003,Albemarle County,2002,87172.66391993663
003,Albemarle County,2003,88858.9478606035
003,Albemarle County,2004,90645.07066856534
003,Albemarle County,2005,91349.91440419688
003,Albemarle County,2006,94224.77481089944
003,Albemarle County,2007,94090.2258293452
003,Albemarle County,2008,96346.38870603709
003,Albemarle County,2009,97694.49153519588
003,Albemarle County,2010,99347
003,Albemarle County,2011,100855
003,Albemarle County,2012,101818
003,Albemarle County,2013,102559
003,Albemarle County,2014,103330
003,Albemarle County,2015,104221
003,Albemarle County,2016,105338
003,Albemarle County,2017,106495
003,Albemarle County,2018,108202
003,Albemarle County,2019,109987
003,Albemarle County,2020,112801
003,Albemarle County,2021,114424
003,Albemarle County,2022,115495
540,Charlottesville City,2000,40199.21446254729
540,Charlottesville City,2001,40215.98831339471
540,Charlottesville City,2002,40371.35066429692
540,Charlottesville City,2003,40289.4791280774
540,Charlottesville City,2004,40939.69031086897
540,Charlottesville City,2005,41233.69056770612
540,Charlottesville City,2006,42805.56917582211
540,Charlottesville City,2007,41915.14870348437
540,Charlottesville City,2008,42431.88927597628
540,Charlottesville City,2009,43237.17834560632
540,Charlottesville City,2010,43658
540,Charlottesville City,2011,44391
540,Charlottesville City,2012,45396
540,Charlottesville City,2013,46303
540,Charlottesville City,2014,47539
540,Charlottesville City,2015,48385
540,Charlottesville City,2016,49037
540,Charlottesville City,2017,49707
540,Charlottesville City,2018,50183
540,Charlottesville City,2019,50694
540,Charlottesville City,2020,51056
540,Charlottesville City,2021,51079
540,Charlottesville City,2022,51278
51,Virginia,2000,7107049.667028213
51,Virginia,2001,7204927.792398994
51,Virginia,2002,7302731.202863817
51,Virginia,2003,7386345.88814222
51,Virginia,2004,7510260.473836495
51,Virginia,2005,7600467.249020532
51,Virginia,2006,7683718.315480616
51,Virginia,2007,7749603.366073032
51,Virginia,2008,7854030.699552173
51,Virginia,2009,7928779.345918727
51,Virginia,2010,8022832
51,Virginia,2011,8110080
51,Virginia,2012,8201507
51,Virginia,2013,8275067
51,Virginia,2014,8339117
51,Virginia,2015,8394902
51,Virginia,2016,8449049
51,Virginia,2017,8506433
51,Virginia,2018,8549345
51,Virginia,2019,8598513
51,Virginia,2020,8646905
51,Virginia,2021,8655608
51,Virginia,2022,8696955
