division,year,school_year,count,students,rate
Albemarle,2007,2006-2007,150,12747,11.767474699929396
Albemarle,2008,2007-2008,75,12802,5.858459615685049
Albemarle,2009,2008-2009,78,12827,6.080923052935215
Albemarle,2010,2009-2010,90,13045,6.8991950939057105
Albemarle,2011,2010-2011,86,13221,6.504802964979956
Albemarle,2012,2011-2012,159,13113,12.125371768474034
Albemarle,2013,2012-2013,100,13277,7.5318219477291555
Albemarle,2014,2013-2014,NA,13432,NA
Albemarle,2015,2014-2015,NA,13689,NA
Albemarle,2016,2015-2016,NA,13772,NA
Albemarle,2017,2016-2017,NA,13818,NA
Albemarle,2018,2017-2018,328,13937,23.534476573150606
Albemarle,2019,2018-2019,316,14013,22.550488831799044
Albemarle,2020,2019-2020,310,14435,21.475580187045377
Albemarle,2021,2020-2021,7,13532,0.5172923440733077
Charlottesville,2007,2006-2007,265,4226,62.70705158542357
Charlottesville,2008,2007-2008,173,4081,42.39157069345749
Charlottesville,2009,2008-2009,137,4059,33.752155703375216
Charlottesville,2010,2009-2010,121,4014,30.14449427005481
Charlottesville,2011,2010-2011,95,4030,23.573200992555833
Charlottesville,2012,2011-2012,119,4175,28.50299401197605
Charlottesville,2013,2012-2013,78,4236,18.413597733711047
Charlottesville,2014,2013-2014,NA,4340,NA
Charlottesville,2015,2014-2015,NA,4356,NA
Charlottesville,2016,2015-2016,NA,4382,NA
Charlottesville,2017,2016-2017,NA,4478,NA
Charlottesville,2018,2017-2018,119,4529,26.27511591962906
Charlottesville,2019,2018-2019,118,4561,25.871519403639553
Charlottesville,2020,2019-2020,142,4544,31.25
Charlottesville,2021,2020-2021,2,4258,0.46970408642555195
Virginia,2007,2006-2007,29385,1220824,24.06980858829774
Virginia,2008,2007-2008,22660,1231306,18.403223893979238
Virginia,2009,2008-2009,21099,1235498,17.077324285429846
Virginia,2010,2009-2010,19964,1245036,16.034877706347444
Virginia,2011,2010-2011,19070,1252266,15.228393967415867
Virginia,2012,2011-2012,19237,1258896,15.280849252043058
Virginia,2013,2012-2013,18958,1265277,14.983280340984622
Virginia,2014,2013-2014,18337,1273532,14.398538866710847
Virginia,2015,2014-2015,17351,1280370,13.55155150464319
Virginia,2016,2015-2016,19406,1284114,15.112365413039653
Virginia,2017,2016-2017,21143,1288033,16.414952101382497
Virginia,2018,2017-2018,45732,1292706,35.37695346041559
Virginia,2019,2018-2019,47937,1290513,37.14569322432242
Virginia,2020,2019-2020,36480,1298083,28.102979547532783
Virginia,2021,2020-2021,2930,1252752,2.3388507861093015
