division,year,school_year,weapon_count,students,rate
Albemarle,2007,2006-2007,27,12747,2.118145445987291
Albemarle,2008,2007-2008,29,12802,2.2652710513982193
Albemarle,2009,2008-2009,19,12827,1.4812504872534498
Albemarle,2010,2009-2010,30,13045,2.2997316979685705
Albemarle,2011,2010-2011,15,13221,1.1345586566825505
Albemarle,2012,2011-2012,15,13113,1.1439029970258523
Albemarle,2013,2012-2013,16,13277,1.2050915116366647
Albemarle,2014,2013-2014,NA,13432,NA
Albemarle,2015,2014-2015,NA,13689,NA
Albemarle,2016,2015-2016,NA,13772,NA
Albemarle,2017,2016-2017,NA,13818,NA
Albemarle,2018,2017-2018,24,13937,1.7220348712061417
Albemarle,2019,2018-2019,16,14013,1.141796902875901
Albemarle,2020,2019-2020,10,14435,0.6927606511950122
Albemarle,2021,2020-2021,2,13532,0.14779781259237365
Charlottesville,2007,2006-2007,20,4226,4.73260766682442
Charlottesville,2008,2007-2008,10,4081,2.450379808870375
Charlottesville,2009,2008-2009,17,4059,4.188223700418822
Charlottesville,2010,2009-2010,15,4014,3.7369207772795217
Charlottesville,2011,2010-2011,12,4030,2.977667493796526
Charlottesville,2012,2011-2012,7,4175,1.6766467065868262
Charlottesville,2013,2012-2013,11,4236,2.5967894239848914
Charlottesville,2014,2013-2014,NA,4340,NA
Charlottesville,2015,2014-2015,NA,4356,NA
Charlottesville,2016,2015-2016,NA,4382,NA
Charlottesville,2017,2016-2017,NA,4478,NA
Charlottesville,2018,2017-2018,12,4529,2.6495915213071317
Charlottesville,2019,2018-2019,0,4561,0
Charlottesville,2020,2019-2020,3,4544,0.6602112676056338
Charlottesville,2021,2020-2021,0,4258,0
Virginia,2007,2006-2007,3273,1220824,2.6809761275990645
Virginia,2008,2007-2008,2961,1231306,2.404763722421559
Virginia,2009,2008-2009,2741,1235498,2.2185385973914973
Virginia,2010,2009-2010,2758,1245036,2.215196990287831
Virginia,2011,2010-2011,2587,1252266,2.0658550180233273
Virginia,2012,2011-2012,2529,1258896,2.00890303885309
Virginia,2013,2012-2013,2540,1265277,2.0074655589250416
Virginia,2014,2013-2014,2270,1273532,1.782444414431675
Virginia,2015,2014-2015,2157,1280370,1.684669275287612
Virginia,2016,2015-2016,2107,1284114,1.6408200518022544
Virginia,2017,2016-2017,2279,1288033,1.7693646047888525
Virginia,2018,2017-2018,2308,1292706,1.7854020945211053
Virginia,2019,2018-2019,2103,1290513,1.6295845140653369
Virginia,2020,2019-2020,1560,1298083,1.2017721517037045
Virginia,2021,2020-2021,362,1252752,0.28896381725992054
