geoid,name,year,youth_unemployed_sum,youth_labor_sum,unemployment_rate,youth_total_sum,laborforce_rate
51003,"Albemarle County, Virginia",2010,477,2427,19.65389369592089,7687,31.572785221803045
51003,"Albemarle County, Virginia",2011,441,2227,19.802424786708578,7431,29.969048580271835
51003,"Albemarle County, Virginia",2012,414,2081,19.894281595386833,7824,26.59764826175869
51003,"Albemarle County, Virginia",2013,293,1622,18.064118372379777,7940,20.428211586901764
51003,"Albemarle County, Virginia",2014,347,1738,19.965477560414268,8480,20.495283018867923
51003,"Albemarle County, Virginia",2015,201,1745,11.51862464183381,7953,21.94140575883314
51003,"Albemarle County, Virginia",2016,166,1841,9.016838674633352,8249,22.31785670990423
51003,"Albemarle County, Virginia",2017,158,1826,8.652792990142387,8302,21.99470007227174
51003,"Albemarle County, Virginia",2018,190,2206,8.612873980054397,8203,26.89260026819456
51003,"Albemarle County, Virginia",2019,173,2176,7.950367647058823,8081,26.927360475188717
51003,"Albemarle County, Virginia",2020,260,2165,12.009237875288683,8563,25.283195141889525
51003,"Albemarle County, Virginia",2021,177,2117,8.360888049126123,8677,24.397833352541202
51540,"Charlottesville city, Virginia",2010,123,1227,10.024449877750612,4135,29.67351874244256
51540,"Charlottesville city, Virginia",2011,185,1064,17.387218045112782,3459,30.760335357039608
51540,"Charlottesville city, Virginia",2012,174,937,18.56990394877268,3105,30.177133655394524
51540,"Charlottesville city, Virginia",2013,158,760,20.789473684210527,3113,24.41374879537424
51540,"Charlottesville city, Virginia",2014,153,829,18.455971049457176,3017,27.477626781571097
51540,"Charlottesville city, Virginia",2015,123,849,14.487632508833922,2819,30.117062788222775
51540,"Charlottesville city, Virginia",2016,167,732,22.814207650273225,2445,29.938650306748464
51540,"Charlottesville city, Virginia",2017,141,742,19.00269541778976,3063,24.224616389160953
51540,"Charlottesville city, Virginia",2018,203,886,22.91196388261851,3279,27.02043305885941
51540,"Charlottesville city, Virginia",2019,146,887,16.459977452085685,2928,30.293715846994534
51540,"Charlottesville city, Virginia",2020,90,789,11.406844106463879,2572,30.676516329704512
51540,"Charlottesville city, Virginia",2021,57,839,6.793802145411204,2617,32.05961024073367
51,Virginia,2010,40017,189879,21.07500039498839,451221,42.081153137819385
51,Virginia,2011,40446,181071,22.337094288980566,448121,40.406720506291826
51,Virginia,2012,41956,174858,23.9943268251953,446841,39.132040255929965
51,Virginia,2013,41262,168263,24.522325169526276,444395,37.86338730183733
51,Virginia,2014,38505,165224,23.304725705708616,444447,37.175186242679104
51,Virginia,2015,35826,165724,21.617870676546545,440954,37.58305855032498
51,Virginia,2016,33754,167617,20.137575544246705,441900,37.93097985969676
51,Virginia,2017,30590,168355,18.169938522764397,441747,38.111181287026284
51,Virginia,2018,29146,170231,17.121440865647266,442366,38.48193577264075
51,Virginia,2019,28202,177042,15.929553439296889,445847,39.709137888109595
51,Virginia,2020,27992,178274,15.701672706059211,444462,40.11006565240673
51,Virginia,2021,26546,182233,14.567065240653449,450406,40.459718565028
